ABBs ABB AVL
611 16 9
357 16 9
504 12 6
980 5 9
30 14 11
464 16 8
221 11 8
989 11 9
504 12 6
11 7 11
236 13 11
911 6 9
144 14 7
329 11 3
869 11 10
983 7 10
759 16 12
586 10 7
989 11 9
183 12 9
566 11 8
616 19 10
589 12 8
700 14 11
214 15 10
853 11 10
921 11 10
120 14 9
191 7 7
403 9 10
618 19 10
810 6 9
426 13 7
562 13 10
181 13 8
321 20 10
23 11 11
117 16 10
914 10 11
341 15 8
847 12 11
813 12 10
14 13 11
694 11 10
730 13 11
165 10 9
705 13 10
874 7 11
427 14 9
453 13 8
169 11 9
372 14 7
1000 8 11
151 16 8
557 5 7
416 15 10
747 16 12
773 15 11
2 5 9
240 13 7
315 19 10
961 10 11
482 12 8
881 9 9
827 13 9
363 18 8
320 18 8
815 14 10
281 12 8
886 7 10
213 14 9
117 16 10
817 12 11
3 8 11
999 10 10
717 17 11
712 12 11
101 16 7
492 16 10
270 14 8
865 11 11
836 8 7
619 18 7
289 9 8
667 6 5
866 13 10
603 15 9
996 14 12
305 23 9
273 13 7
66 15 10
623 13 8
385 16 9
475 13 10
152 18 10
714 15 10
766 9 11
344 14 10
513 6 3
84 15 10
206 19 9
348 14 7
735 15 11
445 17 10
284 10 8
942 9 8
333 10 9
61 11 7
815 14 10
898 13 9
461 15 8
11 7 11
481 13 10
279 13 9
315 19 10
663 8 10
449 14 10
650 7 9
352 17 10
440 13 9
498 9 5
561 7 6
752 14 11
719 13 10
833 12 11
681 10 9
396 16 8
882 11 11
531 10 8
193 8 8
321 20 10
722 14 7
381 16 10
997 11 9
647 8 6
85 12 4
866 13 10
924 12 10
906 10 9
125 17 8
881 9 9
890 11 10
245 14 10
239 14 10
763 13 11
991 10 10
98 16 10
293 12 7
777 13 11
789 13 11
819 16 11
77 16 11
597 8 9
206 19 9
228 15 10
327 13 7
244 15 8
44 11 11
719 13 10
763 13 11
971 6 9
255 10 10
711 11 10
928 5 9
286 8 4
795 11 9
277 13 9
22 13 10
10 6 10
287 10 9
118 15 9
429 12 8
540 12 9
159 13 8
130 15 10
772 13 8
24 9 6
507 15 9
527 12 10
3 8 11
276 12 8
541 10 10
428 15 10
385 16 9
402 4 5
775 15 11
55 13 10
640 14 8
1 4 10
75 13 10
903 8 4
419 11 6
580 10 11
353 19 9
531 10 8
439 14 10
850 11 11
965 8 10
585 9 9
799 9 10
940 10 10
550 10 9
215 13 7
750 11 10
859 7 9
96 15 9
214 15 10
193 8 8
39 11 11
595 10 8
450 11 6
130 15 10
136 15 10
913 9 10
756 11 11
302 21 9
785 7 10
724 12 9
592 9 10
40 10 10
48 12 10
86 16 9
118 15 9
332 13 8
896 15 12
639 16 11
709 7 9
205 18 8
600 11 8
859 7 9
404 10 11
1000 8 11
649 9 10
129 12 7
183 12 9
742 13 9
851 8 9
917 10 9
24 9 6
950 5 5
408 10 8
15 12 9
883 10 10
233 14 9
959 7 7
850 11 11
305 23 9
412 16 10
723 15 10
502 14 7
151 16 8
393 13 7
594 12 10
246 16 11
100 15 10
998 12 11
287 10 9
626 11 10
86 16 9
228 15 10
896 15 12
382 12 6
741 17 12
465 18 10
232 15 10
113 12 5
101 16 7
535 11 10
534 12 9
487 13 10
265 14 10
948 8 10
660 11 9
832 13 9
867 12 11
928 5 9
681 10 9
191 7 7
949 9 11
513 6 3
847 12 11
451 15 10
700 14 11
266 15 11
270 14 8
857 8 10
431 15 9
783 10 11
639 16 11
105 18 11
228 15 10
195 10 9
50 11 9
716 16 10
564 13 10
627 3 2
905 11 10
869 11 10
122 15 10
745 15 12
634 10 7
229 14 9
